Date;Description;Status;productSlug (metadata);customer_id;order__id
07.01.2024 11:43;Subscription creation;Failed;kajodataspace;334;411
07.01.2024 10:04;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;336;413
06.01.2024 19:57;KajoDataSpace;Paid;kajodataspace;337;414
06.01.2024 18:18;Subscription creation;Paid;kajodataspace;338;415
06.01.2024 18:15;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;339;416
06.01.2024 16:51;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;340;417
06.01.2024 16:41;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;341;418
06.01.2024 16:39;Subscription creation;Paid;kajodataspace;342;419
06.01.2024 15:59;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;343;420
06.01.2024 15:34;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;344;421
06.01.2024 13:21;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;345;422
05.01.2024 21:13;KajoDataSpace;Refunded;kajodataspace;346;423
05.01.2024 17:19;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;347;424
05.01.2024 10:10;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;348;425
05.01.2024 10:05;KajoDataSpace;Paid;kajodataspace;349;426
04.01.2024 19:49;KajoDataSpace;Paid;kajodataspace;350;427
04.01.2024 19:27;Subscription creation;Paid;kajodataspace;351;428
04.01.2024 18:02;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;352;429
04.01.2024 05:55;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;39;430
03.01.2024 22:53;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;353;431
03.01.2024 20:04;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;354;432
03.01.2024 17:12;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;355;433
03.01.2024 16:45;Subscription creation;Paid;kajodataspace;356;434
03.01.2024 15:09;KajoDataSpace;Paid;kajodataspace;357;435
03.01.2024 15:01;KajoDataSpace;Paid;kajodataspace;358;436
03.01.2024 10:04;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;359;437
03.01.2024 10:03;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;360;438
03.01.2024 09:55;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;361;439
03.01.2024 09:29;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;362;440
03.01.2024 09:29;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;362;441
02.01.2024 20:14;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;363;442
02.01.2024 17:38;Subscription creation;Paid;kajodataspace;256;443
02.01.2024 11:02;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;359;444
01.01.2024 15:40;Subscription creation;Paid;kajodataspace;364;445
01.01.2024 15:35;Subscription creation;Failed;kajodataspace;364;445
01.01.2024 15:20;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;364;446
01.01.2024 15:17;Kurs Analiza danych w SQL;Failed;sql-analiza-danych;364;447
