Date;Description;Status;productSlug (metadata);customer_id;order__id
10.03.2024 14:13;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;186;208
10.03.2024 10:55;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;187;209
10.03.2024 08:14;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;188;210
10.03.2024 07:46;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;189;211
09.03.2024 22:23;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;190;212
09.03.2024 22:01;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;191;213
09.03.2024 20:31;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;192;214
09.03.2024 20:23;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;193;215
09.03.2024 19:16;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;194;216
09.03.2024 17:42;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;195;217
09.03.2024 15:36;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;196;218
09.03.2024 13:47;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;197;219
